sample_id,video_id,clip_id,annotation,regression_label,classification_label,text_length_storage,text_length_effective,text_dim,text_nonzero_ratio,audio_length_storage,audio_length_effective,audio_dim,audio_nonzero_ratio,vision_length_storage,vision_length_effective,vision_dim,vision_nonzero_ratio,raw_text_preview,extract_status,asr_match_rate,alignment_status,alignment_wer,audio_duration_sec,video_fps,source_video_path_anonymized,source_clip_start_sec,source_clip_end_sec
-3g5yACwYnA$_$13,-3g5yACwYnA,13,Positive,0.6666666865348816,2,50,15,768,1.0,50,337,74,1.0,50,255,35,1.0,They've been able to find solutions or at least bring some answers to the table.,success,0.8,aligned,0.2,5.3991,47.3341,data/raw_attachment1/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/13.mp4,0.0,4.857
-3g5yACwYnA$_$2,-3g5yACwYnA,2,Neutral,0.0,1,50,14,768,1.0,50,576,74,1.0,50,416,35,1.0,Key Polymer brings a technical aspect to our operation that we don't have intern,success,0.7142999999999999,aligned,0.2857,9.2313,45.1351,data/raw_attachment1/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/2.mp4,0.0,9.231313
-3g5yACwYnA$_$3,-3g5yACwYnA,3,Neutral,0.0,1,50,29,768,1.0,50,895,74,1.0,50,575,35,1.0,"We're a huge user of adhesives for our operation, called flocking, and we don't ",success,0.8276,aligned,0.1724,14.3279,40.1696,data/raw_attachment1/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4,0.6,7.384
-3g5yACwYnA$_$9,-3g5yACwYnA,9,Positive,0.6666666865348816,2,50,21,768,1.0,50,543,74,1.0,50,479,35,1.0,We have many new opportunities through the way things have changed through the y,success,0.6667000000000001,partial,0.3333,8.6961,55.1208,data/raw_attachment1/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/9.mp4,0.0,5.891
-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,Neutral,0.0,1,50,18,768,1.0,50,486,74,1.0,50,324,35,0.9897142857142858,Noncompliance can result in legal liability to you and to the school district in,success,0.9444,aligned,0.0556,7.7886,41.688,data/raw_attachment1/MOSEI数据集部分原始视频-100条/-3nNcZdcdvU/5.mp4,0.581,6.447
-571d8cVauQ$_$0,-571d8cVauQ,0,Neutral,0.0,1,50,12,768,1.0,50,312,74,0.9902702702702703,50,149,35,0.9777142857142858,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",success,0.9167,aligned,0.0833,4.9923,30.0,data/raw_attachment1/MOSEI数据集部分原始视频-100条/-571d8cVauQ/0.mp4,1.063,4.992313
-571d8cVauQ$_$5,-571d8cVauQ,5,Positive,0.3333333432674408,2,50,43,768,1.0,50,944,74,1.0,50,546,35,1.0,"So very important to go out to the locations, walk around, talk with the owners ",success,0.7442,aligned,0.2558,15.1152,36.1423,data/raw_attachment1/MOSEI数据集部分原始视频-100条/-571d8cVauQ/5.mp4,0.0,5.586
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,8,Negative,-1.0,0,50,34,768,1.0,50,796,74,1.0,50,494,35,0.9988571428571429,Many people are not until they get to be a older age and they realize that gosh ,success,0.8235,aligned,0.1765,12.738,38.8129,data/raw_attachment1/MOSEI数据集部分原始视频-100条/-6rXp3zJ3kc/8.mp4,0.0,4.787
-9y-fZ3swSY$_$0,-9y-fZ3swSY,0,Positive,1.0,2,50,22,768,1.0,50,422,74,0.9948648648648649,50,202,35,0.9994285714285714,"is, you can say, hey I really like baby skin, they are so soft, they don’t have ",success,0.5,partial,0.5,6.757,30.0,data/raw_attachment1/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/0.mp4,0.0,4.752
-9y-fZ3swSY$_$4,-9y-fZ3swSY,4,Neutral,0.0,1,50,9,768,1.0,50,166,74,1.0,50,261,35,0.9977142857142857,I’ve seen this in US or in the US,success,0.7778,aligned,0.2222,2.6648,98.1911,data/raw_attachment1/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/4.mp4,0.323,2.664813
-9y-fZ3swSY$_$8,-9y-fZ3swSY,8,Positive,1.6666666269302368,2,50,12,768,1.0,50,307,74,1.0,50,318,35,0.9965714285714286,That’s a more decent and more polite way to call a lady,success,0.8333,aligned,0.1667,4.917,64.7425,data/raw_attachment1/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/8.mp4,0.261,4.917
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,2,Positive,0.6666666865348816,2,50,41,768,1.0,50,1400,74,1.0,50,814,35,1.0,"The perfect soul mate to the Clarisonic Spot Therapy Brush, this gentle, Ph bala",success,0.5609999999999999,partial,0.439,22.4046,36.3378,data/raw_attachment1/MOSEI数据集部分原始视频-100条/-AUZQgSxyPQ/2.mp4,0.501,6.828
-HeZS2-Prhc$_$2,-HeZS2-Prhc,2,Positive,0.6666666865348816,2,50,16,768,1.0,50,509,74,1.0,50,467,35,0.9954285714285714,The August jobs report is out and it was seen overall as solid but not great.,success,0.9375,aligned,0.0625,8.1509,57.3712,data/raw_attachment1/MOSEI数据集部分原始视频-100条/-HeZS2-Prhc/2.mp4,0.0,7.25
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,2,Neutral,0.0,1,50,8,768,1.0,50,244,74,1.0,50,239,35,0.9714285714285714,"” [President Ronald Reagan:] ""Look at the record",success,0.25,partial,0.75,3.9158,61.2753,data/raw_attachment1/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/2.mp4,0.0,3.915813
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,5,Negative,-1.0,0,50,10,768,1.0,50,346,74,1.0,50,336,35,0.9897142857142858,""" President Ronald Reagan blamed the professional bureaucracy of education",success,0.8,aligned,0.2,5.5441,60.6758,data/raw_attachment1/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/5.mp4,0.0,5.544063
